word,category,syllables,tonic
andante,adverbio,an dan te,2
andantino,adverbio,an dan ti no,3
andrajosamente,adverbio,an dra jo sa men te,5
angelicalmente,adverbio,an ge li cal men te,5
angostamente,adverbio,an gos ta men te,4
animosamente,adverbio,a ni mo sa men te,5
anoche,adverbio,a no che,2
antaño,adverbio,an ta ño,2
anteanoche,adverbio,an te a no che,4
anteayer,adverbio,an te a yer,4
antemeridiano,adverbio,an te me ri dia no,5
antenoche,adverbio,an te no che,3
anteriormente,adverbio,an te rior men te,4
antes,adverbio,an tes,1
anticipadamente,adverbio,an ti ci pa da men te,6
antier,adverbio,an tier,2
antiguamente,adverbio,an ti gua men te,4
antojadizamente,adverbio,an to ja di za men te,6
anualmente,adverbio,a nual men te,3
apaciblemente,adverbio,a pa ci ble men te,5
aparatosamente,adverbio,a pa ra to sa men te,6
aparentemente,adverbio,a pa ren te men te,5
aparte,adverbio,a par te,2
apasionadamente,adverbio,a pa sio na da men te,6
apenas,adverbio,a pe nas,2
apocadamente,adverbio,a po ca da men te,5
apremiantemente,adverbio,a pre mian te men te,5
apretadamente,adverbio,a pre ta da men te,5
apriesa,adverbio,a prie sa,2
aprisa,adverbio,a pri sa,2
apropiadamente,adverbio,a pro pia da men te,5
aproximadamente,adverbio,a pro xi ma da men te,6
aquende,adverbio,a quen de,2
aquí,adverbio,a quí,2
arbitrariamente,adverbio,ar bi tra ria men te,5
ardientemente,adverbio,ar dien te men te,4
ardorosamente,adverbio,ar do ro sa men te,5
arduamente,adverbio,ar dua men te,3
armónicamente,adverbio,ar mó ni ca men te,2
armoniosamente,adverbio,ar mo nio sa men te,5
arrebatadamente,adverbio,a rre ba ta da men te,6
arreo,adverbio,a rre o,2
arriba,adverbio,a rri ba,2
artificialmente,adverbio,ar ti fi cial men te,5
asaz,adverbio,a saz,2
así,adverbio,a sí,2
asimismo,adverbio,a si mis mo,3
asín,adverbio,a sín,2
asina,adverbio,a si na,2
ásperamente,adverbio,ás pe ra men te,1
atentamente,adverbio,a ten ta men te,4
atrás,adverbio,a trás,2
atropelladamente,adverbio,a tro pe lla da men te,6
augustamente,adverbio,au gus ta men te,4
aun,adverbio,aun,1
aún,adverbio,a ún,2
automáticamente,adverbio,au to má ti ca men te,3
autorizadamente,adverbio,au to ri za da men te,6
avante,adverbio,a van te,2
avariciosamente,adverbio,a va ri cio sa men te,6
aventureramente,adverbio,a ven tu re ra men te,6
aviesamente,adverbio,a vie sa men te,4
ayer,adverbio,a yer,2
azarosamente,adverbio,a za ro sa men te,5
bajamano,adverbio,ba ja ma no,3
bajamente,adverbio,ba ja men te,3
bajo,adverbio,ba jo,1
barato,adverbio,ba ra to,2
básicamente,adverbio,bá si ca men te,1
bastante,adverbio,bas tan te,2
bastantemente,adverbio,bas tan te men te,4
bellamente,adverbio,be lla men te,3
benévolamente,adverbio,be né vo la men te,2
benignamente,adverbio,be nig na men te,4
bien,adverbio,bien,1
bienalmente,adverbio,bie nal men te,3
bis,adverbio,bis,1
bizarramente,adverbio,bi za rra men te,4
blandamente,adverbio,blan da men te,3
blando,adverbio,blan do,1
bobamente,adverbio,bo ba men te,3
bocabajo,adverbio,bo ca ba jo,3
bravamente,adverbio,bra va men te,3
breve,adverbio,bre ve,1
brillantemente,adverbio,bri llan te men te,4
briosamente,adverbio,brio sa men te,3
bruscamente,adverbio,brus ca men te,3
brutalmente,adverbio,bru tal men te,3
buenamente,adverbio,bue na men te,3
bulliciosamente,adverbio,bu lli cio sa men te,5
burdamente,adverbio,bur da men te,3
cabal,adverbio,ca bal,2
caballerosamente,adverbio,ca ba lle ro sa men te,6
cabalmente,adverbio,ca bal men te,3
cabezudamente,adverbio,ca be zu da men te,5
cadenciosamente,adverbio,ca den cio sa men te,5
caducamente,adverbio,ca du ca men te,4
calamitosamente,adverbio,ca la mi to sa men te,6
calladamente,adverbio,ca lla da men te,4
callandico,adverbio,ca llan di co,3
callandito,adverbio,ca llan di to,3
callando,adverbio,ca llan do,2
calumniosamente,adverbio,ca lum nio sa men te,5
calurosamente,adverbio,ca lu ro sa men te,5
campechanamente,adverbio,cam pe cha na men te,5
caninamente,adverbio,ca ni na men te,4
canónicamente,adverbio,ca nó ni ca men te,2
cansadamente,adverbio,can sa da men te,4
cantidad,adverbio,can ti dad,3
cañón,adverbio,ca ñón,2
capazmente,adverbio,ca paz men te,3
capitularmente,adverbio,ca pi tu lar men te,5
característicamente,adverbio,ca rac te rís ti ca men te,4
carnalmente,adverbio,car nal men te,3
caro,adverbio,ca ro,1
casi,adverbio,ca si,1
castellanamente,adverbio,cas te lla na men te,5
castizamente,adverbio,cas ti za men te,4
casualmente,adverbio,ca sual men te,3
categóricamente,adverbio,ca te gó ri ca men te,3
caudalosamente,adverbio,cau da lo sa men te,5
cavilosamente,adverbio,ca vi lo sa men te,5
celestialmente,adverbio,ce les tial men te,4
celosamente,adverbio,ce lo sa men te,4
cerca,adverbio,cer ca,1
cercanamente,adverbio,cer ca na men te,4
cercen,adverbio,cer cen,1
cerquita,adverbio,cer qui ta,2
chistosamente,adverbio,chis to sa men te,4
chuscamente,adverbio,chus ca men te,3
ciegamente,adverbio,cie ga men te,3
científicamente,adverbio,cien tí fi ca men te,2
ciertamente,adverbio,cier ta men te,3
cierto,adverbio,cier to,1
cifradamente,adverbio,ci fra da men te,4
circularmente,adverbio,cir cu lar men te,4
circunferencialmente,adverbio,cir cun fe ren cial men te,6
civilmente,adverbio,ci vil men te,3
clandestinamente,adverbio,clan des ti na men te,5
claramente,adverbio,cla ra men te,3
claro,adverbio,cla ro,1
clericalmente,adverbio,cle ri cal men te,4
cochinamente,adverbio,co chi na men te,4
colegiadamente,adverbio,co le gia da men te,5
colegialmente,adverbio,co le gial men te,4
comercialmente,adverbio,co mer cial men te,4
como,adverbio,co mo,1
cómo,adverbio,có mo,1
cómodamente,adverbio,có mo da men te,1
comoquiera,adverbio,co mo quie ra,3
comparativamente,adverbio,com pa ra ti va men te,6
compasadamente,adverbio,com pa sa da men te,5
compendiosamente,adverbio,com pen dio sa men te,5
competentemente,adverbio,com pe ten te men te,5
completamente,adverbio,com ple ta men te,4
comunalmente,adverbio,co mu nal men te,4
comúnmente,adverbio,co mún men te,2
concertadamente,adverbio,con cer ta da men te,5
concienzudamente,adverbio,con cien zu da men te,5
concomitantemente,adverbio,con co mi tan te men te,6
condicionalmente,adverbio,con di cio nal men te,5
confiadamente,adverbio,con fia da men te,4
confidencialmente,adverbio,con fi den cial men te,5
conforme,adverbio,con for me,2
conformemente,adverbio,con for me men te,4
confortablemente,adverbio,con for ta ble men te,5
confusamente,adverbio,con fu sa men te,4
conjuntamente,adverbio,con jun ta men te,4
connaturalmente,adverbio,con na tu ral men te,5
conocidamente,adverbio,co no ci da men te,5
consecuentemente,adverbio,con se cuen te men te,5
consecutivamente,adverbio,con se cu ti va men te,6
considerablemente,adverbio,con si de ra ble men te,6
consiguientemente,adverbio,con si guien te men te,5
consistentemente,adverbio,con sis ten te men te,5
consistorialmente,adverbio,con sis to rial men te,5
constantemente,adverbio,cons tan te men te,4
constitucionalmente,adverbio,cons ti tu cio nal men te,6
contemporáneamente,adverbio,con tem po rá ne a men te,4
contiguamente,adverbio,con ti gua men te,4
continuadamente,adverbio,con ti nua da men te,5
continuamente,adverbio,con ti nua men te,4
continuo,adverbio,con ti nuo,2
contrariamente,adverbio,con tra ria men te,4
contumazmente,adverbio,con tu maz men te,4
convencionalmente,adverbio,con ven cio nal men te,5
convenido,adverbio,con ve ni do,3
convenientemente,adverbio,con ve nien te men te,5
convincentemente,adverbio,con vin cen te men te,5
cooperativamente,adverbio,co o pe ra ti va men te,7
coordinadamente,adverbio,co or di na da men te,6
copiosamente,adverbio,co pio sa men te,4
cordialmente,adverbio,cor dial men te,3
corporalmente,adverbio,cor po ral men te,4
corporativamente,adverbio,cor po ra ti va men te,6
correccionalmente,adverbio,co rrec cio nal men te,5
correctamente,adverbio,co rrec ta men te,4
correlativamente,adverbio,co rre la ti va men te,6
correspondientemente,adverbio,co rres pon dien te men te,6
corriente,adverbio,co rrien te,2
corrientemente,adverbio,co rrien te men te,4
corrompidamente,adverbio,co rrom pi da men te,5
corruptamente,adverbio,co rrup ta men te,4
cortamente,adverbio,cor ta men te,3
costosamente,adverbio,cos to sa men te,4
cotidianamente,adverbio,co ti dia na men te,5
crasamente,adverbio,cra sa men te,3
criminalmente,adverbio,cri mi nal men te,4
críticamente,adverbio,crí ti ca men te,1
cronológicamente,adverbio,cro no ló gi ca men te,3
crudamente,adverbio,cru da men te,3
cruelmente,adverbio,cruel men te,2
cruentamente,adverbio,cruen ta men te,3
cual,adverbio,cual,1
cuál,adverbio,cuál,1
cuan,adverbio,cuan,1
cuán,adverbio,cuán,1
cuándo,adverbio,cuán do,1
cuanto,adverbio,cuan to,1
cuasi,adverbio,cua si,1
cuerdamente,adverbio,cuer da men te,3
cuidadosamente,adverbio,cui da do sa men te,5
culpablemente,adverbio,cul pa ble men te,4
cultamente,adverbio,cul ta men te,3
culto,adverbio,cul to,1
culturalmente,adverbio,cul tu ral men te,4
cumplidamente,adverbio,cum pli da men te,4
curiosamente,adverbio,cu rio sa men te,4
debajo,adverbio,de ba jo,2
debidamente,adverbio,de bi da men te,4
débilmente,adverbio,dé bil men te,1
decentemente,adverbio,de cen te men te,4
decididamente,adverbio,de ci di da men te,5
declaradamente,adverbio,de cla ra da men te,5
definitivamente,adverbio,de fi ni ti va men te,6
delante,adverbio,de lan te,2
delgadamente,adverbio,del ga da men te,4
deliberadamente,adverbio,de li be ra da men te,6
delicadamente,adverbio,de li ca da men te,5
demás,adverbio,de más,2
demasiadamente,adverbio,de ma sia da men te,5
demasiado,adverbio,de ma sia do,3
dentro,adverbio,den tro,1
deprisa,adverbio,de pri sa,2
derechamente,adverbio,de re cha men te,4
derechito,adverbio,de re chi to,3
derecho,adverbio,de re cho,2
desabridamente,adverbio,de sa bri da men te,5
desacertadamente,adverbio,de sa cer ta da men te,6
desaconsejadamente,adverbio,de sa con se ja da men te,7
desacordadamente,adverbio,de sa cor da da men te,6
desacostumbradamente,adverbio,de sa cos tum bra da men te,7
desagradablemente,adverbio,de sa gra da ble men te,6
desairadamente,adverbio,de sai ra da men te,5
desanimadamente,adverbio,de sa ni ma da men te,6
desapaciblemente,adverbio,de sa pa ci ble men te,6
desapasionadamente,adverbio,de sa pa sio na da men te,7
desastradamente,adverbio,de sas tra da men te,5
desatentadamente,adverbio,de sa ten ta da men te,6
desatinadamente,adverbio,de sa ti na da men te,6
desbaratadamente,adverbio,des ba ra ta da men te,6
descaradamente,adverbio,des ca ra da men te,5
descomedidamente,adverbio,des co me di da men te,6
descompuestamente,adverbio,des com pues ta men te,5
descomunalmente,adverbio,des co mu nal men te,5
desconfiadamente,adverbio,des con fia da men te,5
desconsideradamente,adverbio,des con si de ra da men te,7
desconsoladamente,adverbio,des con so la da men te,6
descubiertamente,adverbio,des cu bier ta men te,5
descuidadamente,adverbio,des cui da da men te,5
desdichadamente,adverbio,des di cha da men te,5
desembarazadamente,adverbio,de sem ba ra za da men te,7
desenvueltamente,adverbio,de sen vuel ta men te,5
desfavorablemente,adverbio,des fa vo ra ble men te,6
desgraciadamente,adverbio,des gra cia da men te,5
deshonestamente,adverbio,des ho nes ta men te,5
desmedidamente,adverbio,des me di da men te,5
desmesuradamente,adverbio,des me su ra da men te,6
desnudamente,adverbio,des nu da men te,4
desordenadamente,adverbio,de sor de na da men te,6
despacio,adverbio,des pa cio,2
despaciosamente,adverbio,des pa cio sa men te,5
despacito,adverbio,des pa ci to,3
despectivamente,adverbio,des pec ti va men te,5
despiertamente,adverbio,des pier ta men te,4
desprevenidamente,adverbio,des pre ve ni da men te,6
después,adverbio,des pués,2
destructivamente,adverbio,des truc ti va men te,5
desusadamente,adverbio,de su sa da men te,5
desvergonzadamente,adverbio,des ver gon za da men te,6
detalladamente,adverbio,de ta lla da men te,5
detenidamente,adverbio,de te ni da men te,5
detrás,adverbio,de trás,2
diagonalmente,adverbio,dia go nal men te,4
diametralmente,adverbio,dia me tral men te,4
diariamente,adverbio,dia ria men te,3
diatónicamente,adverbio,dia tó ni ca men te,2
dichosamente,adverbio,di cho sa men te,4
diestramente,adverbio,dies tra men te,3
diferente,adverbio,di fe ren te,3
diferentemente,adverbio,di fe ren te men te,5
difícilmente,adverbio,di fí cil men te,2
dificultosamente,adverbio,di fi cul to sa men te,6
difusamente,adverbio,di fu sa men te,4
dignamente,adverbio,dig na men te,3
dilatadamente,adverbio,di la ta da men te,5
diligentemente,adverbio,di li gen te men te,5
diminutamente,adverbio,di mi nu ta men te,5
diminutivamente,adverbio,di mi nu ti va men te,6
directamente,adverbio,di rec ta men te,4
discretamente,adverbio,dis cre ta men te,4
disimuladamente,adverbio,di si mu la da men te,6
disparado,adverbio,dis pa ra do,3
disparatadamente,adverbio,dis pa ra ta da men te,6
disyuntivamente,adverbio,di syun ti va men te,5
diversamente,adverbio,di ver sa men te,4
divinamente,adverbio,di vi na men te,4
do,adverbio,do,1
doble,adverbio,do ble,1
doblemente,adverbio,do ble men te,3
dócilmente,adverbio,dó cil men te,1
doctamente,adverbio,doc ta men te,3
dogmáticamente,adverbio,dog má ti ca men te,2
dolorosamente,adverbio,do lo ro sa men te,5
donde,adverbio,don de,1
dónde,adverbio,dón de,1
dondequiera,adverbio,don de quie ra,3
doquier,adverbio,do quier,2
doquiera,adverbio,do quie ra,2
doy,adverbio,doy,1
dramáticamente,adverbio,dra má ti ca men te,2
dudosamente,adverbio,du do sa men te,4
dulce,adverbio,dul ce,1
dulcemente,adverbio,dul ce men te,3
duraderamente,adverbio,du ra de ra men te,5
duramente,adverbio,du ra men te,3
duro,adverbio,du ro,1
económicamente,adverbio,e co nó mi ca men te,3
efectivamente,adverbio,e fec ti va men te,5
eficazmente,adverbio,e fi caz men te,4
eficientemente,adverbio,e fi cien te men te,5
egregiamente,adverbio,e gre gia men te,4
ejecutivamente,adverbio,e je cu ti va men te,6
ejemplarmente,adverbio,e jem plar men te,4
electrónicamente,adverbio,e lec tró ni ca men te,3
elegantemente,adverbio,e le gan te men te,5
elementalmente,adverbio,e le men tal men te,5
elevadamente,adverbio,e le va da men te,5
elocuentemente,adverbio,e lo cuen te men te,5
embarazosamente,adverbio,em ba ra zo sa men te,6
embozadamente,adverbio,em bo za da men te,5
eminencialmente,adverbio,e mi nen cial men te,5
eminentemente,adverbio,e mi nen te men te,5
emocionalmente,adverbio,e mo cio nal men te,5
empeñosamente,adverbio,em pe ño sa men te,5
empíricamente,adverbio,em pí ri ca men te,2
enamoradamente,adverbio,e na mo ra da men te,6
enante,adverbio,e nan te,2
encarecidamente,adverbio,en ca re ci da men te,6
encarnizadamente,adverbio,en car ni za da men te,6
encima,adverbio,en ci ma,2
encubiertamente,adverbio,en cu bier ta men te,5
ende,adverbio,en de,1
endiabladamente,adverbio,en dia bla da men te,5
enérgicamente,adverbio,e nér gi ca men te,2
enfadosamente,adverbio,en fa do sa men te,5
enfáticamente,adverbio,en fá ti ca men te,2
enfrente,adverbio,en fren te,2
engañosamente,adverbio,en ga ño sa men te,5
enhorabuena,adverbio,e nho ra bue na,4
enhoramala,adverbio,e nho ra ma la,4
enigmáticamente,adverbio,e nig má ti ca men te,3
enojosamente,adverbio,e no jo sa men te,5
enormemente,adverbio,e nor me men te,4
enseguida,adverbio,en se gui da,3
enteramente,adverbio,en te ra men te,4
enternecidamente,adverbio,en ter ne ci da men te,6
entonce,adverbio,en ton ce,2
entonces,adverbio,en ton ces,2
entrañablemente,adverbio,en tra ña ble men te,5
entretanto,adverbio,en tre tan to,3
épicamente,adverbio,é pi ca men te,1
episódicamente,adverbio,e pi só di ca men te,3
equilicuá,adverbio,e qui li cuá,4
equitativamente,adverbio,e qui ta ti va men te,6
equivalentemente,adverbio,e qui va len te men te,6
equivocadamente,adverbio,e qui vo ca da men te,6
erradamente,adverbio,e rra da men te,4
erróneamente,adverbio,e rró ne a men te,2
eruditamente,adverbio,e ru di ta men te,5
escabrosamente,adverbio,es ca bro sa men te,5
escandalosamente,adverbio,es can da lo sa men te,6
escapado,adverbio,es ca pa do,3
escasamente,adverbio,es ca sa men te,4
escatimosamente,adverbio,es ca ti mo sa men te,6
escondidamente,adverbio,es con di da men te,5
escrupulosamente,adverbio,es cru pu lo sa men te,6
escuderilmente,adverbio,es cu de ril men te,5
escuetamente,adverbio,es cue ta men te,4
esencialmente,adverbio,e sen cial men te,4
esforzadamente,adverbio,es for za da men te,5
esmeradamente,adverbio,es me ra da men te,5
espaciosamente,adverbio,es pa cio sa men te,5
espantablemente,adverbio,es pan ta ble men te,5
espantosamente,adverbio,es pan to sa men te,5
especial,adverbio,es pe cial,3
especialmente,adverbio,es pe cial men te,4
específicamente,adverbio,es pe cí fi ca men te,3
especulativamente,adverbio,es pe cu la ti va men te,7
espesamente,adverbio,es pe sa men te,4
espiritosamente,adverbio,es pi ri to sa men te,6
espiritualmente,adverbio,es pi ri tual men te,5
espléndidamente,adverbio,es plén di da men te,2
esplendorosamente,adverbio,es plen do ro sa men te,6
espontáneamente,adverbio,es pon tá ne a men te,3
esquemáticamente,adverbio,es que má ti ca men te,3
establemente,adverbio,es ta ble men te,4
estéticamente,adverbio,es té ti ca men te,2
estoicamente,adverbio,es toi ca men te,4
estrafalariamente,adverbio,es tra fa la ria men te,6
estratégicamente,adverbio,es tra té gi ca men te,3
estrechamente,adverbio,es tre cha men te,4
estrepitosamente,adverbio,es tre pi to sa men te,6
estrictamente,adverbio,es tric ta men te,4
estropajosamente,adverbio,es tro pa jo sa men te,6
estruendosamente,adverbio,es truen do sa men te,5
estudiosamente,adverbio,es tu dio sa men te,5
estupendamente,adverbio,es tu pen da men te,5
estupendo,adverbio,es tu pen do,3
estúpidamente,adverbio,es tú pi da men te,2
eternamente,adverbio,e ter na men te,4
eventualmente,adverbio,e ven tual men te,4
evidentemente,adverbio,e vi den te men te,5
exactamente,adverbio,e xac ta men te,4
exacto,adverbio,e xac to,2
exageradamente,adverbio,e xa ge ra da men te,6
exagerativamente,adverbio,e xa ge ra ti va men te,7
excelentemente,adverbio,ex ce len te men te,5
excelsamente,adverbio,ex cel sa men te,4
excesivamente,adverbio,ex ce si va men te,5
exclusivamente,adverbio,ex clu si va men te,5
exclusive,adverbio,ex clu si ve,3
exentamente,adverbio,e xen ta men te,4
exhaustivamente,adverbio,e xhaus ti va men te,5
exorbitantemente,adverbio,e xor bi tan te men te,6
experimentalmente,adverbio,ex pe ri men tal men te,6
expertamente,adverbio,ex per ta men te,4
explicablemente,adverbio,ex pli ca ble men te,5
expresamente,adverbio,ex pre sa men te,4
expresivamente,adverbio,ex pre si va men te,5
expreso,adverbio,ex pre so,2
exquisitamente,adverbio,ex qui si ta men te,5
extensamente,adverbio,ex ten sa men te,4
extensivamente,adverbio,ex ten si va men te,5
exteriormente,adverbio,ex te rior men te,4
externamente,adverbio,ex ter na men te,4
extrajudicialmente,adverbio,ex tra ju di cial men te,6
extramuros,adverbio,ex tra mu ros,3
extrañamente,adverbio,ex tra ña men te,4
extraoficialmente,adverbio,ex tra o fi cial men te,6
extraordinariamente,adverbio,ex tra or di na ria men te,7
extremadamente,adverbio,ex tre ma da men te,5
extremamente,adverbio,ex tre ma men te,4
fabulosamente,adverbio,fa bu lo sa men te,5
fácil,adverbio,fá cil,1
fácilmente,adverbio,fá cil men te,1
facultativamente,adverbio,fa cul ta ti va men te,6
falazmente,adverbio,fa laz men te,3
falsamente,adverbio,fal sa men te,3
familiarmente,adverbio,fa mi liar men te,4
fanáticamente,adverbio,fa ná ti ca men te,2
fantásticamente,adverbio,fan tás ti ca men te,2
fastidiosamente,adverbio,fas ti dio sa men te,5
fastuosamente,adverbio,fas tuo sa men te,4
fatal,adverbio,fa tal,2
fatalmente,adverbio,fa tal men te,3
fatigosamente,adverbio,fa ti go sa men te,5
favorablemente,adverbio,fa vo ra ble men te,5
fe,adverbio,fe,1
feamente,adverbio,fe a men te,3
feblemente,adverbio,fe ble men te,3
febrilmente,adverbio,fe bril men te,3
fecundamente,adverbio,fe cun da men te,4
felizmente,adverbio,fe liz men te,3
fenomenal,adverbio,fe no me nal,4
fenómeno,adverbio,fe nó me no,2
ferozmente,adverbio,fe roz men te,3
fervientemente,adverbio,fer vien te men te,4
fervorosamente,adverbio,fer vo ro sa men te,5
festivamente,adverbio,fes ti va men te,4
fielmente,adverbio,fiel men te,2
fieramente,adverbio,fie ra men te,3
figuradamente,adverbio,fi gu ra da men te,5
figurativamente,adverbio,fi gu ra ti va men te,6
fijamente,adverbio,fi ja men te,3
filialmente,adverbio,fi lial men te,3
filosofalmente,adverbio,fi lo so fal men te,5
finalmente,adverbio,fi nal men te,3
finamente,adverbio,fi na men te,3
fingidamente,adverbio,fin gi da men te,4
firme,adverbio,fir me,1
firmemente,adverbio,fir me men te,3
físicamente,adverbio,fí si ca men te,1
flacamente,adverbio,fla ca men te,3
flojamente,adverbio,flo ja men te,3
floridamente,adverbio,flo ri da men te,4
fluidamente,adverbio,flui da men te,3
foralmente,adverbio,fo ral men te,3
foras,adverbio,fo ras,1
formalmente,adverbio,for mal men te,3
fortuitamente,adverbio,for tui ta men te,4
forzadamente,adverbio,for za da men te,4
forzado,adverbio,for za do,2
forzosamente,adverbio,for zo sa men te,4
forzudamente,adverbio,for zu da men te,4
fotográficamente,adverbio,fo to grá fi ca men te,3
francamente,adverbio,fran ca men te,3
fraternalmente,adverbio,fra ter nal men te,4
fraudulentamente,adverbio,frau du len ta men te,5
frecuentemente,adverbio,fre cuen te men te,4
frenéticamente,adverbio,fre né ti ca men te,2
frente,adverbio,fren te,1
frescamente,adverbio,fres ca men te,3
fríamente,adverbio,frí a men te,1
fructuosamente,adverbio,fruc tuo sa men te,4
frugalmente,adverbio,fru gal men te,3
fuera,adverbio,fue ra,1
fuerte,adverbio,fuer te,1
fuertemente,adverbio,fuer te men te,3
fugazmente,adverbio,fu gaz men te,3
fundamentalmente,adverbio,fun da men tal men te,5
funestamente,adverbio,fu nes ta men te,4
furiosamente,adverbio,fu rio sa men te,4
furtivamente,adverbio,fur ti va men te,4
galantemente,adverbio,ga lan te men te,4
gallardamente,adverbio,ga llar da men te,4
garbosamente,adverbio,gar bo sa men te,4
generalmente,adverbio,ge ne ral men te,4
genéricamente,adverbio,ge né ri ca men te,2
generosamente,adverbio,ge ne ro sa men te,5
genial,adverbio,ge nial,2
genialmente,adverbio,ge nial men te,3
gentilmente,adverbio,gen til men te,3
geográficamente,adverbio,ge o grá fi ca men te,3
geopolíticamente,adverbio,ge o po lí ti ca men te,4
gitanamente,adverbio,gi ta na men te,4
glacialmente,adverbio,gla cial men te,3
gloriosamente,adverbio,glo rio sa men te,4
golosamente,adverbio,go lo sa men te,4
gozosamente,adverbio,go zo sa men te,4
graciosamente,adverbio,gra cio sa men te,4
gradualmente,adverbio,gra dual men te,3
gráficamente,adverbio,grá fi ca men te,1
gramaticalmente,adverbio,gra ma ti cal men te,5
grandemente,adverbio,gran de men te,3
grandiosamente,adverbio,gran dio sa men te,4
gratamente,adverbio,gra ta men te,3
gratis,adverbio,gra tis,1
gratuitamente,adverbio,gra tui ta men te,4
gravemente,adverbio,gra ve men te,3
groseramente,adverbio,gro se ra men te,4
grotescamente,adverbio,gro tes ca men te,4
gruesamente,adverbio,grue sa men te,3
gubernativamente,adverbio,gu ber na ti va men te,6
guerreramente,adverbio,gue rre ra men te,4
gustosamente,adverbio,gus to sa men te,4
guturalmente,adverbio,gu tu ral men te,4
hábilmente,adverbio,há bil men te,1
habitualmente,adverbio,ha bi tual men te,4
harto,adverbio,har to,1
hastiosamente,adverbio,has tio sa men te,4
he,adverbio,he,1
hediondamente,adverbio,he dion da men te,4
hermanablemente,adverbio,her ma na ble men te,5
herméticamente,adverbio,her mé ti ca men te,2
hermosamente,adverbio,her mo sa men te,4
heroicamente,adverbio,he roi ca men te,4
hidalgamente,adverbio,hi dal ga men te,4
hiperbólicamente,adverbio,hi per bó li ca men te,3
hipotéticamente,adverbio,hi po té ti ca men te,3
historialmente,adverbio,his to rial men te,4
históricamente,adverbio,his tó ri ca men te,2
hogaño,adverbio,ho ga ño,2
holgadamente,adverbio,hol ga da men te,4
homogéneamente,adverbio,ho mo gé ne a men te,3
hondamente,adverbio,hon da men te,3
honestamente,adverbio,ho nes ta men te,4
honoríficamente,adverbio,ho no rí fi ca men te,3
